source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
nguyenkim,hp,hp victus gaming 15-fa1088tx i5-13500h/16gb/512gb/win11 (8c5m5pa),intel core i5-13500h,geforce rtx 4050,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,70.07,4,2.34,windows 11 home,12,29900000,35.7,25.5,2.35,0,1,1,0,1
nguyenkim,dell,dell vostro 15 3530 i5-1335u/8gb/512gb/win11 (80gg9),intel core i5-1335u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,120,n/a,41.0,3,1.63,windows 11 home,12,16990000,35.8,23.5,1.9,0,1,1,0,1
nguyenkim,apple,macbook air m1 2020 13 inch 512gb mgne3sa/a vàng,apple m1,n/a,8,đang cập nhật,512,ssd,yes,13.0,2560x1600,n/a,n/a,lithium-polymer,lithium-polymer,1.29,macos,12,27990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
nguyenkim,lenovo,lenovo ideapad slim 5 14imh9 u5-125h/16gb/1tb/win11 (83da006tvn),intel core ultra 5 125h,n/a,16,ddr5,1024,ssd,yes,14.0,1920x1200,n/a,n/a,57.0,"65w usb-c slim (wall-mount), 57wh",1.48,windows 11 pro,24,21890000,31.2,22.1,1.69,1,2,1,0,1
nguyenkim,apple,macbook air m1 13 inch 256gb mgnd3sa/a vàng,apple m1,n/a,8,đang cập nhật,256,ssd,yes,13.0,2560x1600,n/a,n/a,lithium-polymer,lithium-polymer,1.29,macos,12,19490000,30.41,21.24,1.61,n/a,n/a,n/a,n/a,n/a
nguyenkim,dell,dell inspiron 15 3530 i7-1355u/16gb/512gb/win11 (n5i7301w1),intel core i7-1355u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,120,n/a,54.0,3,1.65,windows 11 home,12,21490000,35.85,23.49,2.0,0,1,1,0,1
nguyenkim,acer,acer aspire 3 a315-59-51x8 i5-1235u/8gb/512gb/win11 (nx.k6tsv.00f),intel core i5-1235u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,60,n/a,40.0,3,1.7,windows 11 home,12,11990000,36.29,24.13,1.99,3,0,1,0,1
nguyenkim,acer,acer aspire 5 a515-58m-951t i9-13900h/16gb/512gb/win11 (nx.kq8sv.001),intel core i9-13900h,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,60,n/a,50.0,3,1.73,windows 11 home,12,20990000,36.32,23.88,1.78,0,1,1,0,0
nguyenkim,acer,acer gaming nitro anv15-51-55ca i5-13420h/16gb/512gb/win11 (nh.qn8sv.004),intel core i5-13420h,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,n/a,n/a,57.0,4,2.1,windows 11 home,12,24890000,36.23,23.99,2.29,0,1,1,0,1
nguyenkim,apple,macbook air m1 13 inch 256gb mgn93sa/a bạc,apple m1,n/a,8,đang cập nhật,256,ssd,yes,13.0,2560x1600,n/a,n/a,lithium-polymer,lithium-polymer,1.29,macos,12,19490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
nguyenkim,hp,hp pavilion 15-eg3094tu i5-1335u/8gb/512gb/win11 (8c5l5pa),intel core i5-1335u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.74,windows 11 home,12,16490000,36.02,23.4,1.79,0,1,1,0,0
nguyenkim,msi,msi modern 14 i7-1355u/16gb/512gb/win11 (c13m-607vn),intel core i7-1355u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,39.0,3,1.4,windows 10 home,24,17990000,31.99,22.3,1.94,0,1,1,0,1
