source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
hacom,dell,dell latitude 9440 2-in-1,intel core i7-1365u,n/a,16,ddr5,512,ssd,yes,14.0,2560x1600,n/a,n/a,60.0,3,1.53,windows 11 pro,12,69699000,31.05,31.05,31.05,n/a,n/a,n/a,n/a,n/a
hacom,dell,dell latitude 3540,intel core i7-1355u,n/a,16,ddr4,256,ssd,yes,15.6,1366x768,60,n/a,42.0,3,1.86,n/a,12,24499000,35.9,35.9,35.9,n/a,n/a,n/a,n/a,n/a
hacom,dell,dell latitude 3540,intel core i7-1355u,n/a,8,ddr4,512,ssd,yes,15.6,1366x768,60,n/a,42.0,3,1.86,n/a,12,22499000,35.9,35.9,35.9,n/a,n/a,n/a,n/a,n/a
hacom,dell,dell latitude 3540,intel core i3-1315u,n/a,8,ddr4,256,ssd,yes,15.6,1920x1080,60,n/a,42.0,3,1.86,n/a,12,15899000,35.9,35.9,35.9,n/a,n/a,n/a,n/a,n/a
hacom,asus,asus vivobook a415ea-eb1750w,intel core i3-1125g,n/a,8,ddr4,256,ssd,yes,14.0,1920x1080,n/a,250,42.0,3,1.35,windows,24,12199000,32.4,32.4,3.24,0,0,1,0,1
hacom,asus,asus vivobook a415ea-eb1474w,intel core i5-1135g,n/a,8,ddr4,512,ssd,yes,14.0,1920x1080,n/a,n/a,42.0,3,1.4,windows 11 home,24,15999000,32.4,32.4,3.24,1,0,1,0,1
hacom,dell,dell mobile precision workstation 7680 vpro,intel core i9-13950hx,rtx 2000 ada,32,ddr5,1024,ssd,yes,16.0,1920x1200,60,250,83.0,6,2.6,windows 11 pro,36,85699000,35.6,35.6,35.6,n/a,n/a,n/a,n/a,n/a
hacom,lenovo,lenovo thinkpad x1 fold gen 1,n/a,n/a,8,ddr4,512,ssd,yes,n/a,2048x1536,n/a,300,n/a,n/a,0.999,windows 10 pro,36,60599000,29.9,29.9,29.9,0,3,0,0,0
hacom,asus,asus vivobook s s533ea-bn293t,intel core i5-1135g,n/a,8,n/a,512,ssd,no,15.6,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,24,20499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,hp,hp 240 g8,intel core i5-1135g,n/a,8,n/a,256,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,17069000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,lenovo,lenovo thinkpad t14 gen 4,intel core i5-1335u,n/a,16,ddr5,512,ssd,no,14.0,2240x1400,n/a,300,n/a,n/a,n/a,windows 11 home,36,29999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,acer,acer aspire 5 a515-58p-34rj,intel core i3-1315u,n/a,8,ddr5,512,n/a,yes,15.6,1920x1080,60,n/a,50.0,3,1.7,windows 11 home,12,12799000,36.29,36.29,36.29,0,0,0,0,0
hacom,apple,apple macbook air,apple m2,n/a,16,n/a,512,ssd,no,13.6,n/a,n/a,n/a,n/a,n/a,n/a,macos,12,36899000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,apple,apple macbook air,apple m2,n/a,16,n/a,512,ssd,no,13.6,n/a,n/a,n/a,n/a,n/a,n/a,macos,12,36899000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,apple,apple macbook air,apple m2,n/a,16,n/a,512,ssd,no,13.6,n/a,n/a,n/a,n/a,n/a,n/a,macos,12,36899000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,vaio,vaio fe 14,intel core i5-1235u,n/a,8,ddr4,512,ssd,yes,14.1,1920x1080,n/a,n/a,n/a,n/a,1.6,windows 11 home,12,15699000,32.5,32.5,3.25,0,0,1,0,1
hacom,vaio,vaio fe 15,intel core i5-1235u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,n/a,n/a,1.8,windows 11 home,12,17599000,35.8,35.8,3.58,0,0,1,0,1
hacom,microsoft,microsoft surface pro 8,intel core i7-1185g,n/a,32,n/a,1024,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,59999000,28.7,28.7,28.7,0,2,0,0,1
hacom,vaio,vaio fe 15,intel core i5-1235u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,n/a,n/a,1.8,windows 11 home,12,17999000,35.8,35.8,3.58,0,0,1,0,1
hacom,microsoft,microsoft surface pro 8,intel core i7-1185g,n/a,16,n/a,1024,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,49999000,28.7,28.7,28.7,0,2,0,0,1
hacom,vaio,vaio fe 14,intel core i5-1235u,n/a,8,ddr4,512,ssd,yes,14.1,1920x1080,n/a,n/a,n/a,n/a,1.6,windows 11 home,12,15999000,32.5,32.5,3.25,0,0,1,0,1
hacom,microsoft,microsoft surface pro 8,intel core i7-1185g,n/a,16,n/a,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,38999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i7-1185g,n/a,16,n/a,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,38999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i7-1185g,n/a,16,n/a,512,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,47999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface surface pro 9,intel core i5-1235u,n/a,16,ddr5,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,n/a,windows,12,38499000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,microsoft,microsoft surface pro 8,intel core i7-1185g,n/a,16,n/a,512,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,39999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i5-1135g,n/a,8,n/a,512,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,29999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i5-1135g,n/a,8,n/a,512,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,29999000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i5-1135g,n/a,8,n/a,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,24499000,28.7,28.7,28.7,0,2,0,0,1
hacom,microsoft,microsoft surface pro 8,intel core i5-1135g,n/a,8,n/a,256,ssd,no,13.0,2880x1920,120,n/a,n/a,n/a,0.891,windows 11 home,12,24499000,28.7,28.7,28.7,0,2,0,0,1
hacom,apple,apple macbook pro 13,apple m2 8-core,n/a,8,n/a,512,ssd,yes,13.3,2560x1600,n/a,500,58.2,n/a,1.4,macos,12,34999000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook pro 13,apple m2 8-core,n/a,8,n/a,512,ssd,yes,13.3,2560x1600,n/a,500,58.2,n/a,1.4,macos,12,34999000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook pro 13,apple m2 8-core,n/a,8,n/a,256,ssd,yes,13.3,2560x1600,n/a,500,58.2,n/a,1.4,macos,12,29499000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook air 13,apple m1 8-core,n/a,16,n/a,512,ssd,yes,13.3,2560x1600,n/a,n/a,49.9,n/a,1.29,macos,12,36859000,n/a,n/a,n/a,0,0,0,0,0
hacom,apple,apple macbook air 13,apple m1 8-core,n/a,16,n/a,256,ssd,yes,13.3,2560x1600,n/a,n/a,49.9,n/a,1.29,macos,12,31009000,n/a,n/a,n/a,0,0,0,0,0
