laptop_specs_brand,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_avg_g3d_mark,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute,category,screen_area,screen_ratio
12,8.0,1,512.0,2,1,14.0,144.0,250.0,53.0,3.0,1.6,6,24.0,24990000,31.47,23.35,2.23,0.0,1.0,1.0,0.0,0.0,24850,3689,84451,62278,100,29800,16091,290251,1678,18001,3689,9458.0,118.0,55.0,73.0,45.0,3865.0,1,2304000,1.6
5,16.0,1,512.0,2,1,16.0,60.0,300.0,56.0,3.0,1.7,6,12.0,23490000,35.94,25.11,1.7,0.0,2.0,1.0,0.0,0.0,22301,3501,72517,53887,90,29005,15271,253186,1541,14647,3501,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
0,32.0,1,1024.0,2,1,14.0,90.0,400.0,65.0,3.0,1.2,6,12.0,39990000,31.24,22.12,1.59,0.0,2.0,1.0,0.0,0.0,19773,3992,44536,60763,198,22380,13983,187115,1622,15602,3992,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
0,8.0,1,512.0,2,1,16.0,165.0,500.0,90.0,4.0,2.6,6,12.0,25390000,36.01,27.99,2.83,0.0,3.0,1.0,0.0,0.0,30425,3655,102900,76709,106,39942,21530,373311,1785,22531,3655,17662.0,218.0,110.0,159.0,73.0,6828.0,1,2304000,1.6
8,32.0,1,1024.0,2,1,14.0,120.0,400.0,58.0,4.0,1.24,7,36.0,44990000,31.36,21.94,1.69,0.0,2.0,1.0,0.0,0.0,16781,3445,59322,41990,64,19837,11808,182864,1110,10307,3445,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
8,8.0,1,512.0,2,1,14.0,60.0,300.0,47.0,3.0,1.4,6,24.0,27590000,31.3,21.93,1.8,0.0,1.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
8,64.0,1,1024.0,2,1,14.0,120.0,400.0,57.0,3.0,1.1,7,36.0,62490000,31.28,21.48,1.5,0.0,2.0,1.0,0.0,0.0,17556,3398,59320,42136,67,21360,12384,194550,1169,11039,3398,0.0,0.0,0.0,0.0,0.0,0.0,1,5184000,1.6
8,16.0,1,1024.0,2,1,16.0,180.0,300.0,52.0,4.0,1.66,7,36.0,37590000,35.97,25.08,1.96,0.0,2.0,1.0,0.0,0.0,16781,3445,59322,41990,64,19837,11808,182864,1110,10307,3445,0.0,0.0,0.0,0.0,0.0,0.0,1,2304000,1.6
12,8.0,1,1024.0,2,1,16.0,240.0,500.0,90.0,4.0,2.5,-1,24.0,41990000,35.9,26.64,2.79,0.0,1.0,1.0,0.0,0.0,45650,4300,163612,116486,201,62740,34092,564409,2769,32655,4300,17662.0,218.0,110.0,159.0,73.0,6828.0,1,4096000,1.6
0,32.0,1,1024.0,2,1,14.5,120.0,400.0,76.0,4.0,1.5,6,12.0,47490000,32.28,22.81,1.79,0.0,2.0,1.0,0.0,0.0,25114,3523,88381,64685,114,31400,16655,279971,1775,16443,3523,17662.0,218.0,110.0,159.0,73.0,6828.0,1,5184000,1.6
